drug_name,dosage,frequency,use,side_effects,substitutes,chemical_class,therapeutic_class,habit_forming,warnings
Augmentin,625 mg,3 times daily,Bacterial infections;Sinusitis;Pneumonia,Nausea;Diarrhea;Skin rash,Amoxicillin + Clavulanic Acid,Penicillin with beta-lactamase inhibitor,Antibiotic,false,Take with food;Not for patients with penicillin allergy
Cataflam,50 mg,3 times daily,Pain;Inflammation;Arthritis,Upset stomach;Ulcers;Increased bleeding risk,Voltaren;Diclofenac Potassium,Acetic acid derivative,NSAID,false,Take with food;Short-term use recommended;Avoid in peptic ulcer disease
Panadol,500 mg,Every 4-6 hours,Pain;Fever,Liver damage (in overdose);Skin rash,Paracetamol;Acamol,Para-aminophenol derivative,Analgesic-Antipyretic,false,Avoid alcohol;Do not exceed maximum dose
Brufen,400 mg,3 times daily,Pain;Inflammation;Fever,Upset stomach;Heartburn;Kidney damage,Brufenact;Ibuprofen,Propionic acid derivative,NSAID,false,Take with food;Avoid in peptic ulcer disease
Glucophage,500 mg,2 times daily,Type 2 diabetes,Nausea;Diarrhea;Metallic taste,Metformin;Cidophage,Biguanide,Antidiabetic,false,Contraindicated in renal impairment;Take with food
Daonil,5 mg,Once daily,Type 2 diabetes,Low blood sugar;Weight gain;Upset stomach,Glibenclamide;Euglucon,Sulfonylurea,Antidiabetic,false,High risk of hypoglycemia;Take with breakfast
Lantus,10 units,Once daily at bedtime,Type 1 and Type 2 diabetes,Low blood sugar;Weight gain;Injection site reactions,Insulin Glargine;Basaglar,Insulin analogue,Antidiabetic,false,Do not mix with other insulins;Rotate injection sites
Concor,5 mg,Once daily,High blood pressure;Angina;Heart failure,Slow heart rate;Fatigue;Cold hands and feet,Bisoprolol;Cardicor,Selective beta-1 blocker,Antihypertensive,false,Do not stop abruptly;Caution in asthma
Norvasc,5 mg,Once daily,High blood pressure;Angina,Swelling of ankles;Headache;Flushing,Amlodipine;Amlopin,Dihydropyridine calcium channel blocker,Antihypertensive,false,Swelling is common;Do not stop abruptly
Coversyl,5 mg,Once daily,High blood pressure;Heart failure,Dry cough;Low blood pressure;High potassium levels,Perindopril;Prestarium,ACE inhibitor,Antihypertensive,false,Contraindicated in pregnancy;Monitor renal function
Lasix,40 mg,Once daily,Edema;Heart failure;High blood pressure,Low potassium;Dehydration;Dizziness,Furosemide;Fruse,Loop diuretic,Diuretic,false,Monitor electrolytes;Can cause dehydration;Take in morning
Losec,20 mg,Once daily,Peptic ulcer;GERD;Acid reflux,Headache;Diarrhea;Nausea,Omeprazole;Prazole,Benzimidazole,Proton Pump Inhibitor,false,Take before meals;Long-term use may require monitoring
Zantac,150 mg,2 times daily,Peptic ulcer;GERD;Acid reflux,Headache;Constipation;Dizziness,Ranitidine;Azantac,H2 receptor antagonist,Antacid;Antiulcer,false,May interact with other drugs;Dose adjustment in renal impairment
Motilium,10 mg,3 times daily,Nausea;Vomiting;Bloating,Dry mouth;Headache;Breast enlargement,Domperidone;Domet,Benzimidazole,Dopamine antagonist,false,Not for heart patients;Use with caution
Ventolin Inhaler,100 mcg,As needed for wheezing,Asthma;Bronchospasm,Tremor;Headache;Palpitations,Salbutamol;Asthalin,Short-acting beta-2 agonist,Bronchodilator,false,Not for frequent use;Overuse can be dangerous;Rinse mouth after use
Singulair,10 mg,Once at night,Asthma;Allergic rhinitis,Headache;Agitation;Sleep disorders,Montelukast;Montek,Leukotriene receptor antagonist,Antiasthmatic,false,Monitor for mood changes;Not for acute asthma attacks
Zyrtec,10 mg,Once daily,Allergies;Hay fever;Urticaria,Drowsiness;Dry mouth;Headache,Cetirizine;Cetrizine,Piperazine derivative,Antihistamine,false,May cause drowsiness;Avoid alcohol;Caution when driving
Tramal,50 mg,Every 4-6 hours,Moderate to severe pain,Nausea;Dizziness;Drowsiness;Risk of dependence,Tramadol;Contramal,Opioid agonist,Analgesic,true,Risk of dependence and abuse;Avoid alcohol;Do not drive
